rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
188,frame_0109.jpg,43.6,0.3948,0.4575,0.5,0.08,12,4,False,False
189,frame_0216.jpg,86.4,0.3946,0.4632,0.25,0.44,7,2,False,False
190,frame_0022.jpg,8.8,0.3931,0.3111,0.125,1.0,10,1,False,False
191,frame_0019.jpg,7.6,0.3878,0.3005,0.125,1.0,5,1,False,False
192,frame_0310.jpg,124.0,0.3867,0.5164,0.375,0.08,14,3,False,False
193,frame_0180.jpg,72.0,0.3866,0.5161,0.375,0.08,12,3,False,False
194,frame_0104.jpg,41.6,0.3853,0.5725,0.25,0.12,11,2,False,False
195,frame_0010.jpg,4.0,0.3848,0.3696,0.0,1.0,4,0,False,False
196,frame_0120.jpg,48.0,0.3844,0.5608,0.0,0.52,13,0,False,False
197,frame_0207.jpg,82.8,0.3833,0.2965,0.25,0.8,6,2,False,False
198,frame_0228.jpg,91.2,0.3795,0.518,0.375,0.04,12,3,False,False
199,frame_0171.jpg,68.4,0.3778,0.3546,0.375,0.44,9,3,False,False
200,frame_0172.jpg,68.8,0.3765,0.3679,0.375,0.4,11,3,False,False
201,frame_0087.jpg,34.8,0.3759,0.4098,0.25,0.48,9,2,False,False
202,frame_0309.jpg,123.6,0.375,0.4771,0.375,0.12,12,3,False,False
203,frame_0307.jpg,122.8,0.373,0.5159,0.25,0.2,11,2,False,False
204,frame_0103.jpg,41.2,0.372,0.455,0.375,0.16,11,3,False,False
205,frame_0192.jpg,76.8,0.3716,0.4382,0.375,0.2,8,3,False,False
206,frame_0183.jpg,73.2,0.3715,0.6521,0.125,0.04,9,1,False,False
207,frame_0194.jpg,77.6,0.371,0.4799,0.25,0.28,6,2,False,False
208,frame_0093.jpg,37.2,0.37,0.419,0.375,0.24,8,3,False,False
209,frame_0024.jpg,9.6,0.3687,0.3374,0.0,1.0,10,0,False,False
210,frame_0325.jpg,130.0,0.3677,0.5694,0.25,0.04,16,2,False,False
211,frame_0211.jpg,84.4,0.3668,0.3276,0.25,0.64,8,2,False,False
212,frame_0317.jpg,126.8,0.3659,0.5019,0.25,0.2,10,2,False,False
213,frame_0322.jpg,128.8,0.3658,0.4426,0.375,0.16,11,3,False,False
214,frame_0267.jpg,106.8,0.3603,0.4475,0.375,0.12,7,3,False,False
215,frame_0214.jpg,85.6,0.3581,0.3582,0.25,0.52,5,2,False,False
216,frame_0295.jpg,118.0,0.3561,0.4402,0.0,0.68,6,0,False,False
217,frame_0191.jpg,76.4,0.3555,0.497,0.25,0.16,9,2,False,False
218,frame_0372.jpg,148.8,0.355,0.437,0.375,0.12,15,3,False,False
219,frame_0009.jpg,3.6,0.3541,0.2332,0.125,1.0,5,1,False,False
220,frame_0210.jpg,84.0,0.3515,0.4309,0.0,0.68,6,0,False,False
221,frame_0384.jpg,153.6,0.3515,0.414,0.375,0.16,16,3,False,False
222,frame_0091.jpg,36.4,0.3501,0.4222,0.25,0.32,7,2,False,False
223,frame_0115.jpg,46.0,0.3471,0.4162,0.25,0.32,11,2,False,False
224,frame_0271.jpg,108.4,0.3377,0.4344,0.375,0.04,13,3,False,False
225,frame_0189.jpg,75.6,0.3367,0.4914,0.25,0.08,8,2,False,False
226,frame_0125.jpg,50.0,0.3359,0.3088,0.125,0.72,11,1,False,False
227,frame_0195.jpg,78.0,0.3349,0.3168,0.375,0.32,7,3,False,False
228,frame_0084.jpg,33.6,0.3345,0.354,0.125,0.6,9,1,False,False
229,frame_0196.jpg,78.4,0.3326,0.3712,0.25,0.36,4,2,False,False
230,frame_0300.jpg,120.0,0.3311,0.3202,0.25,0.48,8,2,False,False
231,frame_0027.jpg,10.8,0.3305,0.2609,0.0,1.0,13,0,False,False
232,frame_0205.jpg,82.0,0.3285,0.2189,0.25,0.72,6,2,False,False
233,frame_0218.jpg,87.2,0.3279,0.3617,0.25,0.36,11,2,False,False
234,frame_0212.jpg,84.8,0.3265,0.263,0.25,0.6,7,2,False,False
235,frame_0299.jpg,119.6,0.3136,0.4192,0.0,0.52,8,0,False,False
236,frame_0100.jpg,40.0,0.305,0.5191,0.125,0.04,12,1,False,False
237,frame_0233.jpg,93.2,0.3041,0.3622,0.25,0.24,15,2,False,False
238,frame_0111.jpg,44.4,0.3011,0.4631,0.125,0.16,7,1,False,False
239,frame_0201.jpg,80.4,0.298,0.297,0.125,0.56,4,1,False,False
240,frame_0190.jpg,76.0,0.2954,0.4677,0.125,0.12,8,1,False,False
